#Section 1
0		o	0	
1		yek	ye	1
2		do	doo	too	2
3		se	se'	3	
4		chahar	char	cha	for	4
@		at	@
30		si	si'	30
ok		ok	okey	#start
cd		si'di	cd	#start
copy		kopy	copy	#start
address		aadres	address	#start
power		paawer	power	#start
bye		baay	bye	#wholeword
computer		kaampiyoter	computer	#start
idea		ideh	idea	#start
project		projeh	project	#start
site		sayt	site	#start
free		aazaad	firi	free	#start
email		imeil	email	#start
mail		meil	imeil	mail	#start
technical		teknikal	fanni	technical	#start
page		safhe	peyj	page	#start
ip		aay'pi	ip	#start
type		taayp	type	#start
change		cheng	taqyeer	change	#start
check		chek	check	#start
star		estaar	setareh	star	#start
dialup		dayal'aap	dialup	#start
research		tahqiq	reserch	research	#start
tv		telvizion	ti'vi	tv	#start
good		good	khoob	#start
persian		pershyan	farsi	persian	#start
tool		tool	abzar	#start
toefl		taafel	toefl	#start
memory		memory	hafeze	#start
RAM		RAM	hafeze	#start
CPU		si'pi'yoo	CPU	#start
title		taaytel	onvan	title	#start
contact		kaantakt	contact	#start
dg		dige	dg	#wholeword
january		jaanvye	january	#wholeword
february		fevrye	february	#wholeword
march		maars	march	#wholeword
april		aavril	april	#wholeword
may		meh	may	#wholeword
june		jooan	june	#wholeword
july		joolay	july	#wholeword
august		aagost	august	#wholeword
september	septaambr	september	#wholeword
october		oktobr	october	#wholeword
november		novaambr	november	#wholeword
december		desaambr	december	#wholeword
sms	es'em'es	payamak	sms	#start
ADSL	ey'di'es'el	ADSL	#start
facebook	feysbook	facebook	#start
music	moozik	music	#start
weblog	weblag	weblog	#start
download	danlod	download	#start
online	aanlayn	online	#start
bug	baag	bug	#wholeword
ine	ine	ayne	ayn	#end
ile	ile	ayle	ayl	#end
plz	lotfan	pleez	plz	#wholeword
save	seyv	save	#start
akhmato	اخماتو	#exact
aks	عکس	#exact
aksare	اکثر	#exact
akse	عکس	#exact
aksio	عکسیو	#exact
akso	عکسو	#exact
akso	عکس‌و	#exact
alaagheye	علاقه‌ی	علاقه	#exact
alaan	الآن	الان	#exact
alagham	علاقم	#exact
alaghamo	علاقمو	#exact
alaghat	علاقت	#exact
alaghemand	علاقمند	#exact
alagheye	علاقه‌ی	#exact
alaki	الکی	#exact
alam	عالم	#exact
alamat	علامت	#exact
alame	عالمه	علامه	#exact
alan	الان	#exact
alanam	الآنم	آلنم	#exact
alave	علاوه	#exact
alaveye	علاوه‌ی	علاوه	#exact
albat	البت	#exact
albate	البته	#exact
albateh	البته	#exact
albatte	البته	#exact
album	آلبوم	#exact
albuma	آلبوما	#exact
albumam	آلبومم	#exact
albumasho	آلبومشو	البومشو	#exact
aleykom	علیکم	#exact
aleykomo	علیکم‌و	علیکم	#exact
ali	علی	عالی	#exact
alireza	علیرضا	#exact
alkolo	آلکلو	#exact
all	آل	#exact
allarhaie	تلارهایی	#exact
alli	علی	عالی	#exact
alo	الو	#exact
am	ام	#exact
ama	اما	#exact
amaa	اما	#exact
amad	آمد	#exact
amade	آماده	آمده	#exact
amadegie	آمادگی	#exact
amadeh	آماده	آمده	#exact
amal	عمل	#exact
amalkarde	عملکرد	#exact
aman	امان	#exact
amar	آمار	#exact
amare	آمار	#exact
amari	آماری	#exact
ame	عمه	عام	#exact
ameye	عامه‌ی	عمه‌ی	#exact
amin	امین	آمین	#exact
amir	امیر	#exact
amma	اما	#exact
ammaa	اما	#exact
ammamo	عممو	#exact
amme	عمه	عامه	#exact
amped	آمپد	امپد	#exact
amr	امر	#exact
amrica	آمریکا	#exact
amricaii	آمریکایی	#exact
amricaiia	آمریکاییا	#exact
amricaiiha	آمریکاییها	#exact
amricaiim	آمریکاییم	#exact
amricayiya	آمریکییا	#exact
amrika	آمریکا	#exact
an	ان	آن	#exact
anahita	آناهیتا	#exact
anar	انار	#exact
and	اند	و	#exact
andakhtaman	اندختمن	#exact
andaze	اندازه	#exact
andazeh	اندازه	#exact
andazeie	اندازه‌ی	اندازه	#exact
andookhte	اندوخته	#exact
angooro	انگورو	#exact
anjaam	انجام	#exact
anjam	انجام	#exact
apartment	آپرتمنت	آپارتمان	apartment	#exact
aqa	آقا	#exact
arab	عرب	#exact
arabemoon	عربمون	#exact
arabi	عربی	#exact
aramesh	آرامش	#exact
architecture	آرکیتکچر	معماری	architecture	#exact
are	آره	#exact
areh	آره	#exact
arezo	آرزو	#exact
arezoi	آرزوی	آرزویی	#exact
arezoo	آرزو	#exact
arezoo	آرزو	#exact
arezoohatono	آرزوهاتو	#exact
arezoom	آرزوم	#exact
arezooye	آرزوی	#exact
arezooye	آرزوی	#exact
aria	آریا	#exact
armin	آرمین	#exact
aroom	آروم	#exact
aroomam	آرومم	#exact
aroosi	عروسی	#exact
aroosish	عروسیش	#exact
aroosisho	عروسیشو	#exact
arosi	عروسی	#exact
arosie	عروسی	#exact
arosish	عروسیش	#exact
arrangement	ارنجمنت	آرایش	arrangement	#exact
arteshe	ارتش	#exact
arusi	عروسی	#exact
arusie	عروسی	#exact
arusy	عروسی	#exact
arz	عرض	#exact
arzesh	ارزش	#exact
arzeshe	ارزش	#exact
as	از	مثل	as	#exact
asaabe	اعصاب	#exact
asaabo	اعصابو	#exact
asabamo	اعصابمو	#exact
asabaniyat	عصبانیت	#exact
asabe	اعصاب	#exact
asan	آسان	#exact
asari	اثری	آثاری	#exact
asemoon	آسمون	#exact
asgari	عسگری	#exact
ashegh	عاشق	#exact
ashegh	عاشق	#exact
asheghe	عاشق	#exact
asheghe	عاشق	#exact
asheghesh	عاشقش	#exact
ashk	اشک	#exact
ashke	اشک	#exact
ashna	آشنا	#exact
ashnaa	آشنا	#exact
ashpaz	آشپز	#exact
ashrafi	اشرافی	اشرفی	#exact
asl	ای.اس.ال	مشخصات لطفا	ASL	#exact
aslahe	اسلحه	#exact
aslan	اصلا	#exact
aslanam	اصلنم	اصلانم	#exact
asle	اصل	#exact
asly	اصلی	#exact
asr	عصر	#exact
asresh	عصرش	اثرش	#exact
asri	عصری	اثری	#exact
assalam	عسلم	#exact
assalamo	عسلمو	#exact
assar	اثر	عصار	#exact
ast	است	#exact
astin	آستین	#exact
at	ات	#exact
atiyeo	آتیه‌و	آتیه	#exact
australia	استرالیا	#exact
avaghebe	عواقب	#exact
avakher	اواخر	#exact
aval	اول	#exact
avalan	اولا	#exact
avalesh	اولش	#exact
avalet	اولت	#exact
avalieye	اولیه‌ی	اولیه	#exact
avalin	اولین	#exact
avalinam	اولینم	#exact
avalish	اولیش	#exact
avatar	آواتار	avatar	#exact
avaz	عوض	#exact
avazi	عوضی	#exact
avordam	آوردم	#exact
avordamo	آوردمو	اوردمو	#exact
avordan	آوردن	#exact
avorde	آورده	آورد	#exact
avva	آوا	#exact
avval	اول	#exact
avvalin	اولین	#exact
ax	عکس	#exact
axa	عکسا	#exact
axatam	اکساتم	#exact
axe	عکس	آخه	#exact
axesho	عکسشو	#exact
axolamale	عکس‌العمل	#exact
ay	آی	ای	#exact
aya	آیا	#exact
ayad	آید	#exact
ayandash	آیندش	#exact
ayande	آینده	#exact
aye	ای	آیه	#exact
ayne	آینه	عین	#exact
az	از	آز	#exact
aza	عزا	#exact
azad	آزاد	#exact
azadari	عزاداری	#exact
azado	آزادو	#exact
azam	ازم	اعظم	#exact
azari	آزاری	آذری	#exact
azash	ازش	#exact
azashoon	ازشون	#exact
azat	ازت	#exact
azaye	اعضای	عزاعی	#exact
azemat	عظمت	#exact
aziyat	اذیت	#exact
aziz	عزیز	#exact
azizam	عزیزم	#exact
aziztarin	عزیزترین	#exact
azmayeshi	آزمایشی	#exact
azun	ازون	#exact
ba	با	#exact
ba'de	بعد	باد	#exact
baa	با	#exact
baad	بعد	باد	#exact
baadan	بعدا	#exact
baadesh	بعدش	#exact
baahaatoon	باهاتون	#exact
baalaaye	بالای	بالایه	#exact
baar	بار	#exact
baasham	باشم	#exact
baashe	باشه	#exact
baaz	باز	#exact
baazam	بازم	#exact
baaziao	بازی‌و	بازی	#exact
baba	بابا	#exact
babai	بابایی	#exact
babam	بابام	#exact
babash	باباش	#exact
babate	بابت	#exact
babaye	بابای	#exact
bache	بچه	#exact
bachegiamooneha	بچگیامونه‌ها	#exact
bachegoone	بچه‌گونه	بچگونه	#exact
bacheha	بچه‌ها	#exact
back	بک	قبل	back	#exact
bad	بعد	بد	باد	#exact
badak	بدک	#exact
badam	بدم	بادام	#exact
badan	بدن	بعداً	#exact
badanamo	بدنمو	#exact
badbakhte	بدبخت	#exact
badbakhtit	بدبختیت	#exact
bade	باد	بده	بد	#exact
badesh	بعدش	بدش	بادش	#exact
badesham	بعدشم	بدشم	#exact
badesham	بعدشم	#exact
badet	بدت	#exact
badi	بعدی	بدی	#exact
badid	بدید	#exact
badit	بدیت	بعدیت	#exact
badtar	بدتر	#exact
baed	بعد	بعید	#exact
baede	بعیده	بعد	#exact
baftam	بافتم	#exact
baghal	بغل	بقال	#exact
baghalete	بغلته	بغلت	#exact
baghi	باقی	#exact
baghiasham	بقیشم	#exact
baghie	بقیه	#exact
baghieye	بقیه‌ی	بقیه	#exact
baghiyeye	بقیه‌ی	بقیه	#exact
bah	به	باه	#exact
bahal	باحال	#exact
bahalan	باحالن	#exact
bahale	باحاله	#exact
bahali	باحالی	#exact
baham	باهام	باهم	#exact
bahar	بهار	#exact
bahash	باهاش	#exact
bahashon	باهاشون	بهاشون	#exact
bahatoon	باهاتون	بهاتون	#exact
bahoneie	بهونه‌ی	#exact
bahoonan	بهونن	#exact
bahooshid	باهوشید	#exact
baiad	باید	#exact
baian	بیاین	#exact
bakere	باکره	#exact
bakereye	باکره‌ی	باکره	#exact
bakht	بخت	باخت	#exact
bala	بالا	#exact
balad	بلد	#exact
balade	بلد	بلده	#exact
balaha	بالاها	بلاها	#exact
balast	بالاست	#exact
balatar	بالاتر	#exact
balaye	بالای	#exact
balayee	بالایی	بلایی	#exact
bale	بله	بال	باله	#exact
baline	بالین	#exact
ball	بال	#exact
band	بند	باند	#exact
bande	بنده	#exact
bar	بر	بار	#exact
bara	برا	#exact
baraam	برام	#exact
baraaye	برای	#exact
barabar	برابر	#exact
baradaram	برادرم	#exact
baradaramo	برادرمو	#exact
baradaret	برادرت	#exact
barai	برای	#exact
barakatoh	برکاته	#exact
baram	برام	#exact
baramoon	برامون	#exact
barash	براش	#exact
barashoon	براشون	#exact
barat	برات	#exact
baratoon	براتون	#exact
baratun	براتون	#exact
baravarde	برآورده	#exact
baraye	برای	#exact
barazande	برازنده	#exact
bardari	برداری	#exact
bare	باره	بار	#exact
baremoon	برمون	بارمنون	#exact
barf	برف	#exact
bargardoond	برگردوند	#exact
bargashatam	برگشتم	#exact
bargashtam	برگشتم	#exact
bargashtim	برگشتیم	#exact
barghamoon	برقامون	برقمون	#exact
barie	برای	باریه	#exact
barmigardam	برمی‌گردم	برمیگردم	#exact
barmigardim	برمی‌گردیم	برمیگردیم	#exact
barmigardoonam	برمی‌گردونم	برمیگردونم	#exact
barmigashtam	برمی‌گشتم	برمیگشتم	#exact
barmoon	برمون	#exact
barnamast	برنامست	#exact
barname	برنامه	#exact
barnamehaye	برنامه‌های	#exact
barnamei	برنامه‌ای	#exact
baro	برو	بارو	#exact
barobaxe	بروبکس	#exact
baroon	بارون	#exact
bartaraf	برطرف	#exact
bas	بس	#exact
basam	باسم	#exact
bash	باش	#exact
basham	باشم	#exact
bashamesh	باشمش	#exact
bashan	باشن	#exact
bashar	بشر	#exact
bashe	باشه	#exact
basheh	باشه	#exact
bashi	باشی	#exact
bashid	باشید	#exact
bashim	باشیم	#exact
bashin	باشین	#exact
bastare	بستر	#exact
baste	بسته	#exact
bastegi	بستگی	#exact
basti	بستی	#exact
bat	بات	#exact
batman	بتمن	#exact
bavar	باور	#exact
bavaret	باورت	#exact
bavaretoon	باورتون	#exact
bax	بکس	#exact
bayad	باید	#exact
bayd	باید	#exact
baz	باز	#exact
bazam	بازم	#exact
bazarie	بازاری	بازاریه	#exact
bazesh	بازش	#exact
bazgasht	بازگشت	#exact
bazi	بعضی	بازی	#exact
bazia	بعضیا	#exact
bazie	بازی	بازیه	#exact
baziro	بازی‌رو	#exact
bazish	بعضیش	#exact
bazrasi	بازرسی	#exact
be	به	#exact
bebakhshid	ببخشید	#exact
bebakhsid	ببخثید	#exact
bebandim	ببندیم	#exact
bebari	ببری	#exact
bebarid	ببرید	#exact
bebarin	ببرین	#exact
bebin	ببین	#exact
bebinad	ببیند	#exact
bebinam	ببینم	#exact
bebinam	ببینم	#exact
bebinamesh	ببینمش	#exact
bebinamet	ببینمت	#exact
bebinan	ببینن	#exact
bebinid	ببینید	#exact
bebinim	ببینیم	#exact
bebinin	ببینین	#exact
becharkh	بچرخ	#exact
becharkhim	بچرخیم	#exact
bedam	بدم	#exact
bedan	بدن	بدان	#exact
bedd	بد	#exact
bede	بده	#exact
bedi	بدی	#exact
bedid	بدید	#exact
bedim	بدیم	#exact
bedin	بدین	#exact
bedonan	بدونن	#exact
bedone	بدون	#exact
bedoonam	بدونم	#exact
bedoonan	بدونن	#exact
bedoone	بدون	#exact
bedoone	بدون	#exact
bedoonee	بدونه	بدونی	بدون	#exact
bedoune	بدون	#exact
bedozde	بدزده	#exact
bedun	بدون	#exact
bedunim	بدونیم	#exact
bedy	بدی	#exact
befahmam	بفهمم	#exact
befahme	بفهمه	#exact
befahmid	بفهمید	#exact
befarma	بفرما	#exact
befrest	بفرست	#exact
begam	بگم	#exact
began	بگن	#exact
bege	بگه	#exact
begi	بگی	#exact
begid	بگید	#exact
begim	بگیم	#exact
begin	بگین	#exact
begir	بگیر	#exact
begiram	بگیرم	#exact
begiran	بگیرن	#exact
begiri	بگیری	#exact
begirin	بگیرین	#exact
bego	بگو	#exact
bego	بگو	#exact
begoo	بگو	#exact
begu	بگو	#exact
begyr	بگیر	#exact
begzaaram	بگذارم	#exact
begzaaramesh	بگزارمش	بگذارمش	#exact
begzaarand	بگذارند	#exact
begzaram	بگذارم	بگذرم	#exact
begzare	بگذره	#exact
begzari	بگذاری	#exact
behdasht	بهداشت	#exact
behem	بهم	#exact
behesh	بهش	#exact
behesho	بهشو	#exact
behesht	بهشت	#exact
behet	بهت	#exact
behetoon	بهتون	#exact
behnam	بهنام	#exact
behshahr	بهشهر	#exact
behtar	بهتر	#exact
behtaran	بهترن	#exact
behtare	بهتره	#exact
behtaresham	بهترشم	#exact
behtarie	بهتریه	بهتری	#exact
behtarin	بهترین	#exact
behtarine	بهترین	بهترینه	#exact
behtarinha	بهترین‌ها	#exact
behzad	بهزاد	#exact
beinetun	بینتون	#exact
bekar	بکار	#exact
bekarat	بکارت	#exact
bekeshe	بکشه	#exact
bekhab	بخواب	#exact
bekhabam	بخوابم	#exact
bekhad	بخواد	#exact
bekhaid	بخواید	#exact
bekhaie	بخیه	#exact
bekhan	بخوان	#exact
bekhand	بخند	#exact
bekhandam	بخندم	#exact
bekharam	بخرم	#exact
bekharim	بخریم	#exact
bekhater	بخاطر	#exact
bekhatere	بخاطر	بخاطره	#exact
bekhay	بخوای	#exact
bekhodeton	بخودتون	#exact
bekhonin	بخونین	#exact
bekhoninesh	بخونینش	#exact
bekhoon	بخون	#exact
bekhoonam	بخونم	#exact
bekhosos	بخصوص	#exact
bekhounama	بخونما	#exact
bekhunam	بخونم	#exact
bekonam	بکنم	#exact
bekoni	بکنی	#exact
bekonid	بکنید	#exact
bekoobam	بکوبم	#exact
belakhare	بالاخره	#exact
belakhareh	بالاخره	#exact
belgheysam	بلقیسم	#exact
bem	بم	بهم	#exact
bemir	بمیر	#exact
bemiram	بمیرم	#exact
bemoone	بمونه	#exact
benazaram	بنظرم	#exact
bendazam	بندازم	#exact
bendazim	بندازیم	#exact
benevis	بنویس	#exact
benevisam	بنویسم	#exact
benevise	بنویسه	بنویس	#exact
beneviseh	بنویسه	بنویس	#exact
benevisid	بنویسید	#exact
benevisin	بنویسین	#exact
benvisand	بنویسند	#exact
benvisin	بنویسین	#exact
benzino	بنزینو	#exact
bepaiin	بپایین	#exact
bepashi	بپاشی	#exact
bepors	بپرس	#exact
beporsam	بپرسم	#exact
bera	برا	#exact
beram	برم	#exact
beran	برن	بران	#exact
beravad	برود	#exact
bere	بره	#exact
berenj	برنج	#exact
beresam	برسم	#exact
beresan	برسن	#exact
berese	برسه	#exact
beresi	برسی	#exact
beresim	برسیم	#exact
beresoon	برسون	#exact
beresun	برسون	#exact
beresune	برسونه	#exact
beri	بری	#exact
berid	برید	#exact
berim	بریم	#exact
berin	برین	#exact
beriz	بریز	#exact
berizam	بریزم	#exact
besh	بش	#exact
besham	بشم	#exact
beshan	بشن	#exact
beshe	بشه	#exact
beshi	بشی	#exact
beshid	بشید	#exact
beshim	بشیم	#exact
beshinam	بشینم	#exact
beshnasam	بشناسم	#exact
beshnasi	بشناسی	#exact
beshnavam	بشنوم	#exact
beshnavi	بشنوی	#exact
besiar	بسیار	#exact
besiari	بسیاری	#exact
besyar	بسیار	#exact
bet	بت	#exact
beta	بتا	beta	#exact
betalat	بطالت	#exact
beterekoonam	بترکونم	#exact
betonim	بتونیم	#exact
betoonam	بتونم	#exact
betoonan	بتونن	#exact
betooni	بتونی	#exact
betoonim	بتونیم	#exact
beyne	بین	#exact
beza	بزا	#exact
beza'at	بضاعت	بزات	#exact
bezaat	بضاعت	بزات	#exact
bezan	بزن	#exact
bezanam	بزنم	#exact
bezanano	بزننو	#exact
bezane	بزنه	#exact
bezani	بزنی	#exact
bezanid	بزنید	#exact
bezanid	بزنید	#exact
bezanin	بزنین	#exact
bezar	بذار	#exact
bezaran	بذارن	بزارن	#exact
bezare	بذاره	#exact
bezarid	بزارید	#exact
bezarin	بزارین	#exact
bezoodi	بزودی	#exact
bi	بی	#exact
bia	بیا	#exact
biad	بیاد	#exact
biain	بیاین	بیایین	#exact
biam	بیام	#exact
biaramesho	بیارمش‌و	بیارمش	#exact
biaran	بیارن	#exact
biaranet	بیارنت	#exact
biare	بیاره	#exact
biarineshoon	بیارینشون	#exact
bibi	بیبی	#exact
bichare	بیچاره	بی‌چاره	#exact
bidaresh	بیدارش	#exact
bifaydan	بیفیدن	#exact
bifekret	بیفکرت	#exact
bighami	بی‌غمی	#exact
bikhial	بی‌خیال	بیخیال	#exact
bikhiale	بیخیال	#exact
bikhiali	بی‌خیالی	#exact
bikhiyalesh	بیخیالش	#exact
bikhod	بی‌خود	بیخود	#exact
bimarefati	بی‌معرفتی	#exact
binahaayat	بی‌نهایت	بینهایت	#exact
binamoos	بیناموس	#exact
bingo	بینگو	bingo	#exact
biofte	بیفته	#exact
birah	بیراه	#exact
biroon	بیرون	#exact
biroon	بیرون	#exact
bishtar	بیشتر	#exact
bishtare	بیشتر	#exact
bishtari	بیشتری	#exact
biyad	بیاد	#exact
biyain	بیایین	بیاین	#exact
biyam	بیام	#exact
biyayd	بیاید	#exact
biyaym	بیایم	#exact
biyofte	بیفته	#exact
bkhabio	بیخوابی‌و	#exact
bkhiale	بیخیال	#exact
blackberry	بلکبری	blackberry	#exact
blast	بلست	#exact
blastam	بلستم	بلاستم	#exact
blastayi	بلستایی	#exact
blastet	بلستت	#exact
block	بلوک	block	#exact
blog	بلاگ	#exact
blogamo	بلاگمو	#exact
blogger	بلاگر	#exact
blogspot	بلاگ‌اسپات	#exact
bo'di	بعدی	#exact
bod	بود	#exact
bodam	بودم	#exact
bodaro	بودارو	#exact
boghz	بغض	#exact
boghzam	بغضم	بغضام	#exact
bokhoran	بخورن	#exact
bokhorim	بخوریم	#exact
bokon	بکن	#exact
bokonam	بکنم	#exact
bokone	بکنه	#exact
bokonim	بکنیم	#exact
boland	بلند	#exact
bood	بود	#exact
bood	بود	#exact
bood	بود	#exact
boodam	بودم	#exact
boodan	بودن	#exact
boodanam	بودنم	#exact
boode	بوده	#exact
boodeh	بوده	#exact
boodeha	بوده‌ها	بودها	#exact
boodi	بودی	#exact
boodim	بودیم	#exact
boombool	بومبول	#exact
boose	بوسه	#exact
bordam	بردم	#exact
bordan	بردن	#exact
bordanemoon	بردنمون	#exact
boro	برو	#exact
boss	بوس	#exact
boud	بود	#exact
boudam	بودم	#exact
bozorg	بزرگ	#exact
bozorge	بزرگ	بزرگه	#exact
bozorgi	بزرگی	#exact
brazil	برزیل	#exact
bronze	برنز	برنزه	#exact
browse	بروز	جست‌وجو	browse	#exact
bud	بود	#exact
budam	بودم	#exact
budi	بودی	#exact
bug	باگ	خطا	bug	#exact
but	بات	بوت	ولی	but	#exact
by	بای	خدا‌حافظ	by	#exact
bye	بای	خداحافظ	bye	#exact
c	سی	#exact
cake	کیک	#exact
calculator	کلکولیتر	ماشین حساب	calculator	#exact
campiuteram	کامپیوترم	#exact
can	کن	کان	#exact
canada	کانادا	#exact
cancelie	کنسلیه	#exact
canvas	کانواس	canvas	#exact
card	کارد	کارت	card	#exact
carte	کارت	#exact
cd	سی‌دی	CD	#exact
celaso	کلاس‌و	#exact
cent	سنت	cent	#exact
cera	سرا	#exact
chaee	چایی	#exact
chaker	چاکر	#exact
chakeram	چاکرم	#exact
chakere	چاکر	#exact
chakeretam	چاکرتم	#exact
chakerim	چاکریم	#exact
chand	چند	#exact
chandin	چندین	#exact
change	چنج	تغییر	change	#exact
chap	چپ	چاپ	#exact
character	کرکتر	#exact
charei	چاره‌ای	#exact
chareye	چاره‌ی	#exact
charta	چارتا	#exact
chasb	چسب	#exact
chasbid	چسبید	#exact
chashm	چشم	#exact
chat	چت	#exact
che	چه	#exact
cheghaadr	چقدر	#exact
cheghad	چقد	چقدر	#exact
cheghad	چقد	#exact
cheghadr	چقدر	#exact
chehre	چهره	#exact
chejoori	چجوری	چه‌جوری	#exact
chejori	چه‌جوری	چجوریی	#exact
chekaras	چکارس	#exact
chekhabra	چه‌خبرا	#exact
chepoond	چپوند	#exact
cheqadr	چقدر	#exact
chera	چرا	#exact
cheraa	چرا	#exact
cherto	چرتو	#exact
chesham	چشام	#exact
cheshe	چشه	#exact
cheshm	چشم	#exact
cheshmaki	چشمکی	#exact
cheshmam	چشمام	چشمم	#exact
cheshmash	چشماش	چشمش	#exact
cheshmaye	چشمای	#exact
cheshme	چشمه	چشم	#exact
cheshmet	چشمت	#exact
chetori	چطوری	#exact
chetory	چطوری	#exact
chi	چی	#exact
chie	چیه	#exact
chii	چی	#exact
